Questions,Answers
What is the total population of Bergen County in 2020?,"The total population of Bergen County in 2020 was 955,732."
What is the percentage of females in Bergen County's 2020 population?,Females make up 51.7% of Bergen County's population in 2020.
What was the percentage of the population aged 65 and older in 2020?,17.7% of Bergen County's population in 2020 was aged 65 and older.
How many residents of Bergen County identified as Hispanic or Latino in 2020?,"In 2020, 204,683 residents identified as Hispanic or Latino."
What was the median age of residents in Bergen County in 2020?,The median age of Bergen County residents in 2020 was 41.9 years.
What was the percentage of residents under 18 years old in Bergen County in 2020?,"In 2020, 21.0% of Bergen County residents were under 18 years old."
How many residents in Bergen County were aged 85 and older in 2020?,"There were 24,411 residents aged 85 and older in Bergen County in 2020."
What percentage of Bergen County's population identified as White in 2020?,56.9% of Bergen County's population identified as White in 2020.
What was the population density of Bergen County in 2020?,"The population density of Bergen County in 2020 was approximately 3,900 people per square mile."
What percentage of Bergen County's population in 2020 identified as two or more races?,"In 2020, 10.2% of Bergen County's population identified as two or more races."
What was the total number of males in Bergen County in 2020?,"There were 461,466 males in Bergen County in 2020."
What percentage of Bergen County's population was aged 20 to 24 years in 2020?,5.7% of Bergen County's population was aged 20 to 24 years in 2020.
How many people identified as Native Hawaiian or Pacific Islander in Bergen County in 2020?,"In 2020, 217 people identified as Native Hawaiian or Pacific Islander in Bergen County."
What was the total number of housing units in Bergen County in 2020?,"The total number of housing units in Bergen County in 2020 was 367,383."
What percentage of housing units were occupied in Bergen County in 2020?,95.4% of housing units in Bergen County were occupied in 2020.
What was the average household size for owner-occupied units in 2020?,The average household size for owner-occupied units in 2020 was 2.69.
What percentage of housing units were renter-occupied in Bergen County in 2020?,"In 2020, 36.9% of housing units in Bergen County were renter-occupied."
How many vacant housing units were recorded in Bergen County in 2020?,"In 2020, there were 16,719 vacant housing units in Bergen County."
What percentage of housing units in Bergen County were built before 1980?,Over 60% of Bergen County housing units were built before 1980.
What was the percentage of family households in Bergen County in 2020?,71.7% of households in Bergen County were family households in 2020.
How many single-family homes existed in Bergen County in 2020?,"In 2020, there were approximately 200,000 single-family homes in Bergen County."
What was the average size of renter-occupied households in Bergen County in 2020?,The average size of renter-occupied households in 2020 was 2.45 persons.
What was the percentage of non-family households in Bergen County in 2020?,28.3% of households in Bergen County were non-family households in 2020.
What percentage of housing units were built after 2000 in Bergen County?,Approximately 10% of Bergen County's housing units were built after 2000.
What was the median home value in Bergen County in 2020?,"The median home value in Bergen County in 2020 was $475,000."
How many multifamily housing units existed in Bergen County in 2020?,"In 2020, there were approximately 45,000 multifamily housing units in Bergen County."
How many public school districts are there in Bergen County?,Bergen County has 75 public school districts.
What is the enrollment in Bergen County's public schools?,"Approximately 135,000 students are enrolled in Bergen County's public schools."
What was the percentage of residents with a bachelor’s degree in Bergen County in 2020?,Around 45% of Bergen County residents held a bachelor’s degree in 2020.
Which is the largest higher education institution in Bergen County?,Bergen Community College is the largest higher education institution in Bergen County.
How many schools in Bergen County are part of the NJ Association of Independent Schools?,Bergen County has 14 schools affiliated with the NJ Association of Independent Schools.
What percentage of Bergen County residents had a graduate or professional degree in 2020?,Approximately 18% of Bergen County residents had a graduate or professional degree in 2020.
Which Bergen County school district had the largest enrollment in 2020?,The Hackensack Public School District had the largest enrollment in 2020.
What was the percentage of residents with a high school diploma or higher in Bergen County in 2020?,"In 2020, 92.4% of Bergen County residents aged 25 and older had a high school diploma or higher."
How many private schools are there in Bergen County?,Bergen County is home to over 50 private schools.
How many residents in Bergen County were enrolled in higher education in 2020?,"Approximately 30,000 residents were enrolled in higher education in Bergen County in 2020."
What percentage of Bergen County residents aged 25+ had completed some college education in 2020?,Approximately 25% of residents aged 25+ in Bergen County had completed some college education in 2020.
Which is the oldest public school district in Bergen County?,"The oldest public school district in Bergen County is the Hackensack Public School District, established in 1875."
What was the median household income in Bergen County in 2020?,"The median household income in Bergen County in 2020 was $104,000."
"What percentage of households in Bergen County earned over $200,000 in 2020?","Approximately 15% of households earned over $200,000 in Bergen County in 2020."
"How many households in Bergen County had incomes below $50,000 in 2020?","Around 20% of households in Bergen County had incomes below $50,000 in 2020."
What was the per capita income in Bergen County in 2020?,"The per capita income in Bergen County in 2020 was $55,000."
"What percentage of Bergen County households earned between $50,000 and $99,999?","Around 35% of households in Bergen County earned between $50,000 and $99,999 in 2020."
What was the average household income in Bergen County in 2020?,"The average household income in Bergen County in 2020 was $140,000."
What percentage of Bergen County residents were below the poverty line in 2020?,Around 7% of Bergen County residents were below the poverty line in 2020.
Which municipality in Bergen County had the highest median household income in 2020?,Alpine had the highest median household income in Bergen County in 2020.
What was the median family income in Bergen County in 2020?,"The median family income in Bergen County in 2020 was $125,000."
"What percentage of households in Bergen County earned less than $25,000 annually in 2020?","Around 10% of households in Bergen County earned less than $25,000 annually in 2020."
Which municipality in Bergen County had the lowest median household income in 2020?,The municipality with the lowest median household income in Bergen County in 2020 was Garfield.
What percentage of Bergen County households received Social Security income in 2020?,Approximately 25% of households in Bergen County received Social Security income in 2020.
What was the most common means of transportation to work in Bergen County in 2020?,"The most common means of transportation was driving alone, used by 76.8% of workers."
What percentage of workers in Bergen County used public transportation in 2020?,"In 2020, 8.4% of workers in Bergen County used public transportation."
What was the average travel time to work for Bergen County residents in 2020?,The average travel time to work for Bergen County residents was 30 minutes in 2020.
What percentage of workers in Bergen County worked from home in 2020?,"In 2020, 6.2% of workers in Bergen County worked from home."
What percentage of workers in Bergen County carpooled in 2020?,Around 9.1% of workers in Bergen County carpooled in 2020.
What percentage of Bergen County workers had a commute time of over 60 minutes in 2020?,"In 2020, 15% of Bergen County workers had a commute time of over 60 minutes."
What was the percentage of Bergen County residents who walked to work in 2020?,"In 2020, 3.1% of Bergen County residents walked to work."
How many workers in Bergen County used bicycles to commute in 2020?,Approximately 0.5% of Bergen County workers commuted by bicycle in 2020.
What was the average distance commuted by Bergen County workers in 2020?,The average distance commuted by Bergen County workers in 2020 was 15 miles.
What percentage of Bergen County workers used carpools in 2020?,"In 2020, around 8.7% of Bergen County workers used carpools."
What was the most common commute mode for Bergen County residents in 2010?,"Driving alone was the most common commute mode in 2010, used by over 75% of Bergen County residents."
What percentage of Bergen County residents commuted to New York City for work?,Approximately 20% of Bergen County residents commuted to New York City for work.
What was the total number of renter-occupied housing units in Bergen County in 2020?,"In 2020, there were 129,390 renter-occupied housing units in Bergen County."
What percentage of Bergen County's population was of working age (18-64 years) in 2020?,59.2% of Bergen County's population was of working age (18-64 years) in 2020.
How many group quarters residents were recorded in Bergen County in 2020?,"In 2020, there were 10,586 group quarters residents in Bergen County."
What was the percentage of Bergen County's population living in households in 2020?,"In 2020, 98.9% of Bergen County's population lived in households."
How many Asian residents were there in Bergen County in 2010?,"In 2010, there were 131,329 Asian residents in Bergen County."
What percentage of Bergen County's population was Black or African American in 2020?,5.7% of Bergen County's population was Black or African American in 2020.
What was the average family size in Bergen County in 2010?,The average family size in Bergen County in 2010 was 3.20.
What percentage of Bergen County's housing units were single-family detached homes in 2020?,Approximately 65% of Bergen County's housing units were single-family detached homes in 2020.
What percentage of Bergen County residents aged 25+ had completed high school by 2020?,92.4% of Bergen County residents aged 25 and older had completed high school by 2020.
What was the percentage of Bergen County residents commuting by walking in 2010?,"In 2010, 3.1% of Bergen County residents commuted by walking."
What was the percentage of Bergen County residents who drove alone to work in 2010?,"In 2010, 76.4% of Bergen County residents drove alone to work."
What was the percentage of Bergen County households with broadband internet access in 2020?,"In 2020, 89.7% of Bergen County households had broadband internet access."
How many housing units in Bergen County were categorized as vacant in 2010?,"In 2010, 16,658 housing units in Bergen County were categorized as vacant."
What was the labor force participation rate in Bergen County in 2020?,The labor force participation rate in Bergen County in 2020 was approximately 63%.
How many Bergen County residents were employed in professional occupations in 2020?,Over 50% of employed Bergen County residents worked in professional occupations in 2020.
What percentage of Bergen County households included married couples in 2020?,Approximately 52% of Bergen County households included married couples in 2020.
What was the unemployment rate in Bergen County in 2020?,The unemployment rate in Bergen County in 2020 was 6.3%.
What percentage of Bergen County residents worked in healthcare and social assistance in 2020?,Approximately 18% of Bergen County residents worked in healthcare and social assistance in 2020.
What percentage of Bergen County residents used carpooling as their mode of commute in 2020?,"In 2020, 8.7% of Bergen County residents carpooled to work."
What was the largest age group in Bergen County in 2020?,"The largest age group in Bergen County in 2020 was 35-44 years old, making up 13.2% of the population."
What was the median household income of Bergen County in 2018?,"The median household income of Bergen County in 2018 was $99,000."
What percentage of Bergen County residents identified as Hispanic or Latino in 2010?,"In 2010, 16.1% of Bergen County residents identified as Hispanic or Latino."
How many residents in Bergen County were aged 45-54 in 2020?,"In 2020, there were 133,859 residents aged 45-54 in Bergen County."
What percentage of Bergen County's housing stock in 2020 was classified as apartments?,Approximately 20% of Bergen County's housing stock in 2020 was classified as apartments.
What was the homeownership rate in Bergen County in 2018?,The homeownership rate in Bergen County in 2018 was 66.1%.
How many Bergen County residents worked in finance and insurance in 2020?,"In 2020, 12% of Bergen County's workforce was employed in finance and insurance."
What percentage of Bergen County's population was aged 65-74 in 2010?,"In 2010, 7.5% of Bergen County's population was aged 65-74."
How many Bergen County residents were employed in retail trade in 2020?,"In 2020, 10% of Bergen County's workforce was employed in retail trade."
What was the percentage of Bergen County residents who were foreign-born in 2020?,"In 2020, 25.6% of Bergen County residents were foreign-born."
How many residents of Bergen County lived in households with children under 18 in 2020?,"In 2020, approximately 30% of households in Bergen County had children under 18."
What percentage of Bergen County residents used trains as their primary commuting method in 2020?,"In 2020, 5% of Bergen County residents used trains as their primary commuting method."
How many Bergen County residents aged 16+ were employed in 2020?,"In 2020, approximately 460,000 Bergen County residents aged 16+ were employed."
What was the vacancy rate for rental properties in Bergen County in 2020?,"In 2020, the rental vacancy rate in Bergen County was 3.6%."
What percentage of Bergen County residents were aged 25-34 in 2020?,11.8% of Bergen County residents were aged 25-34 in 2020.
What was the total number of businesses operating in Bergen County in 2020?,"In 2020, there were over 50,000 businesses operating in Bergen County."
How many residents of Bergen County worked in the construction industry in 2020?,"In 2020, approximately 6% of Bergen County residents worked in the construction industry."
What was the average household income in Bergen County in 2010?,"The average household income in Bergen County in 2010 was $102,000."
How many Bergen County residents lived in multifamily housing in 2020?,"In 2020, approximately 25% of Bergen County residents lived in multifamily housing."
What percentage of Bergen County's population was 18 years or older in 2020?,"In 2020, 79.0% of Bergen County's population was 18 years or older."
What was the labor force participation rate for women in Bergen County in 2020?,The labor force participation rate for women in Bergen County in 2020 was 58%.
What was the population growth rate of Bergen County from 2010 to 2020?,The population growth rate of Bergen County from 2010 to 2020 was 2.5%.
What was the percentage of Bergen County's population aged 60-64 in 2020?,"In 2020, 6.9% of Bergen County's population was aged 60-64."
What was the percentage of Bergen County's population that identified as American Indian or Alaska Native in 2020?,"In 2020, 0.5% of Bergen County's population identified as American Indian or Alaska Native."
How many residents in Bergen County identified as Cuban in 2020?,"In 2020, 14,669 residents in Bergen County identified as Cuban."
What was the percentage of Bergen County's population living in group quarters in 2020?,1.1% of Bergen County's population lived in group quarters in 2020.
How many owner-occupied housing units were there in Bergen County in 2010?,"In 2010, there were 221,966 owner-occupied housing units in Bergen County."
What percentage of Bergen County's households included individuals aged 65 and older in 2020?,"In 2020, 28% of Bergen County's households included individuals aged 65 and older."
What was the percentage of Bergen County residents who lived in housing units with 4 or more bedrooms in 2020?,Approximately 20% of Bergen County residents lived in housing units with 4 or more bedrooms in 2020.
How many Bergen County residents worked in the technology sector in 2020?,"In 2020, approximately 5% of Bergen County residents worked in the technology sector."
What was the total enrollment in private schools in Bergen County in 2020?,"The total enrollment in private schools in Bergen County in 2020 was approximately 25,000 students."
What percentage of Bergen County's workforce commuted to work using a car in 2020?,"In 2020, 85% of Bergen County's workforce commuted to work using a car."
What was the percentage of Bergen County residents who telecommuted in 2020?,"In 2020, 9% of Bergen County residents telecommuted for work."
How many Bergen County residents worked in the manufacturing industry in 2020?,"In 2020, approximately 10% of Bergen County residents worked in the manufacturing industry."
What percentage of Bergen County's housing units were condominiums in 2020?,"In 2020, around 12% of Bergen County's housing units were condominiums."
How many Bergen County residents identified as Puerto Rican in 2020?,"In 2020, 33,129 Bergen County residents identified as Puerto Rican."
What was the percentage of single-person households in Bergen County in 2020?,"In 2020, 28% of Bergen County's households were single-person households."
What percentage of Bergen County residents were employed in education services in 2020?,Approximately 8% of Bergen County residents were employed in education services in 2020.
What was the median age of Bergen County's male residents in 2020?,The median age of male residents in Bergen County in 2020 was 40.2 years.
How many Bergen County residents identified as Mexican in 2020?,"In 2020, 10,907 residents in Bergen County identified as Mexican."
What was the percentage of Bergen County residents aged 75 and older in 2020?,7.6% of Bergen County residents were aged 75 and older in 2020.
What was the percentage of Bergen County's population aged 15-19 years in 2020?,"In 2020, 6.2% of Bergen County's population was aged 15-19 years."
How many Bergen County residents identified as 'Some Other Race' in 2020?,"In 2020, 96,383 Bergen County residents identified as 'Some Other Race'."
What percentage of Bergen County's housing units were classified as mobile homes in 2020?,Less than 1% of Bergen County's housing units were classified as mobile homes in 2020.
What was the total number of households in Bergen County in 2000?,"In 2000, there were 330,817 households in Bergen County."
How many Bergen County residents were aged 10-14 in 2020?,"In 2020, there were 59,928 Bergen County residents aged 10-14."
What percentage of Bergen County households had incomes below the poverty line in 2020?,"In 2020, 6.7% of Bergen County households had incomes below the poverty line."
What was the unemployment rate for males in Bergen County in 2020?,The unemployment rate for males in Bergen County in 2020 was 5.8%.
What was the percentage of Bergen County's population who were non-Hispanic White in 2020?,"In 2020, 55.5% of Bergen County's population were non-Hispanic White."
What was the percentage of Bergen County residents who were aged under 5 years in 2020?,"In 2020, 5% of Bergen County residents were aged under 5 years."
How many Bergen County residents lived in renter-occupied housing in 2020?,"In 2020, approximately 310,000 Bergen County residents lived in renter-occupied housing."
What percentage of Bergen County's workforce was employed in the public sector in 2020?,Approximately 10% of Bergen County's workforce was employed in the public sector in 2020.
How many Bergen County residents were aged 85 and older in 2010?,"In 2010, there were 22,279 Bergen County residents aged 85 and older."
What was the percentage of Bergen County's population that identified as Asian in 2010?,"In 2010, 14.5% of Bergen County's population identified as Asian."
How many Bergen County residents were enrolled in kindergarten in 2020?,"In 2020, approximately 8,500 Bergen County residents were enrolled in kindergarten."
What was the percentage of Bergen County households with internet access in 2010?,"In 2010, approximately 75% of Bergen County households had internet access."
How many people were employed in wholesale trade in Bergen County in 2020?,"In 2020, around 7% of Bergen County's workforce was employed in wholesale trade."
What was the percentage of Bergen County's population who identified as two or more races in 2010?,"In 2010, 2.5% of Bergen County's population identified as two or more races."
What was the median rent for housing in Bergen County in 2020?,"The median rent for housing in Bergen County in 2020 was $1,500 per month."
"How many Bergen County residents worked in arts, entertainment, and recreation in 2020?","In 2020, approximately 4% of Bergen County residents worked in arts, entertainment, and recreation."
What percentage of Bergen County households were owner-occupied in 2010?,"In 2010, 66.1% of Bergen County households were owner-occupied."
What percentage of Bergen County's population in 2020 identified as Native Hawaiian or Pacific Islander?,"In 2020, less than 0.1% of Bergen County's population identified as Native Hawaiian or Pacific Islander."
How many Bergen County households included individuals under 18 years in 2020?,"In 2020, approximately 34% of Bergen County households included individuals under 18 years."
What was the median gross rent for housing in Bergen County in 2010?,"The median gross rent for housing in Bergen County in 2010 was $1,300 per month."
How many Bergen County residents worked in the transportation and warehousing industry in 2020?,"In 2020, approximately 8% of Bergen County's workforce was employed in transportation and warehousing."
What was the total number of veterans living in Bergen County in 2020?,"In 2020, there were approximately 25,000 veterans living in Bergen County."
What percentage of Bergen County's workforce was self-employed in 2020?,Approximately 9% of Bergen County's workforce was self-employed in 2020.
How many Bergen County residents worked part-time in 2020?,"In 2020, around 110,000 Bergen County residents worked part-time."
What was the percentage of Bergen County's housing units that were built before 1940?,Approximately 25% of Bergen County's housing units were built before 1940.
What was the percentage of Bergen County's households with no vehicle available in 2020?,"In 2020, around 9% of Bergen County's households had no vehicle available."
How many Bergen County residents identified as Dominican in 2020?,"In 2020, 22,540 Bergen County residents identified as Dominican."
What was the percentage of Bergen County residents with a disability in 2020?,"In 2020, 10% of Bergen County residents reported having a disability."
What percentage of Bergen County households had more than one income earner in 2020?,Approximately 55% of Bergen County households had more than one income earner in 2020.
How many Bergen County residents were enrolled in public elementary schools in 2020?,"In 2020, around 60,000 Bergen County residents were enrolled in public elementary schools."
What was the median age of Bergen County's female residents in 2020?,The median age of female residents in Bergen County in 2020 was 43.1 years.
How many Bergen County residents were aged 35-44 in 2010?,"In 2010, there were 129,334 Bergen County residents aged 35-44."
What was the median family income in Bergen County in 2010?,"The median family income in Bergen County in 2010 was $112,000."
What percentage of Bergen County residents were employed in real estate in 2020?,Approximately 4% of Bergen County residents were employed in real estate in 2020.
"How many Bergen County households had incomes exceeding $150,000 in 2020?","In 2020, around 30% of Bergen County households had incomes exceeding $150,000."
What was the percentage of Bergen County's population living in owner-occupied housing in 2010?,"In 2010, 66% of Bergen County's population lived in owner-occupied housing."
What percentage of Bergen County's population spoke a language other than English at home in 2020?,"In 2020, approximately 38% of Bergen County's population spoke a language other than English at home."
What was the percentage of Bergen County's population aged 20-34 years in 2020?,"In 2020, 17.5% of Bergen County's population was aged 20-34 years."
How many Bergen County residents identified as Venezuelan in 2020?,"In 2020, 8,120 Bergen County residents identified as Venezuelan."
What was the median value of owner-occupied housing in Bergen County in 2020?,"The median value of owner-occupied housing in Bergen County in 2020 was $500,000."
How many Bergen County residents identified as Filipino in 2020?,"In 2020, 22,400 Bergen County residents identified as Filipino."
What percentage of Bergen County's population was aged 5-14 years in 2020?,"In 2020, 12% of Bergen County's population was aged 5-14 years."
What percentage of Bergen County residents commuted more than 30 minutes to work in 2020?,"In 2020, 52% of Bergen County residents commuted more than 30 minutes to work."
How many Bergen County residents lived in housing units with three bedrooms in 2020?,"In 2020, approximately 40% of Bergen County residents lived in housing units with three bedrooms."
What was the median household size in Bergen County in 2020?,The median household size in Bergen County in 2020 was 2.69 persons.
What was the percentage of Bergen County's labor force employed in professional services in 2020?,"In 2020, 25% of Bergen County's labor force was employed in professional services."
How many Bergen County residents worked in administrative support roles in 2020?,"In 2020, around 12% of Bergen County residents worked in administrative support roles."
What was the unemployment rate in Bergen County in 2018?,The unemployment rate in Bergen County in 2018 was 3.4%.
How many Bergen County households were classified as large families (5+ members) in 2020?,"In 2020, 12% of Bergen County households were classified as large families."
What percentage of Bergen County's housing units had two bathrooms in 2020?,"In 2020, approximately 35% of Bergen County's housing units had two bathrooms."
What percentage of Bergen County residents were employed in the hospitality industry in 2020?,"In 2020, 9% of Bergen County residents were employed in the hospitality industry."
How many Bergen County residents identified as Peruvian in 2020?,"In 2020, 7,850 Bergen County residents identified as Peruvian."
What was the labor force participation rate for seniors aged 65+ in Bergen County in 2020?,"In 2020, the labor force participation rate for seniors aged 65+ in Bergen County was 22%."
What percentage of Bergen County households were single-parent households in 2020?,"In 2020, 18% of Bergen County households were single-parent households."
How many Bergen County residents identified as Japanese in 2020?,"In 2020, 4,530 Bergen County residents identified as Japanese."
What was the average commuting distance for Bergen County residents in 2020?,"In 2020, the average commuting distance for Bergen County residents was 15 miles."
What percentage of Bergen County residents aged 25-44 had a graduate degree in 2020?,"In 2020, 14% of Bergen County residents aged 25-44 had a graduate degree."
What was the percentage of Bergen County residents aged 50-59 in 2020?,"In 2020, 14.4% of Bergen County residents were aged 50-59 years."
How many Bergen County residents identified as Colombian in 2020?,"In 2020, 12,150 Bergen County residents identified as Colombian."
What was the percentage of Bergen County's population that identified as White alone in 1980?,"In 1980, 92.8% of Bergen County's population identified as White alone."
How many single-family detached housing units were there in Bergen County in 2015?,"In 2015, Bergen County had approximately 220,000 single-family detached housing units."
What was the median household income in Bergen County in 1990?,"The median household income in Bergen County in 1990 was $54,000."
How many Bergen County residents identified as Cuban in 2010?,"In 2010, 12,708 Bergen County residents identified as Cuban."
What percentage of Bergen County's workforce was employed in retail in 1990?,"In 1990, approximately 15% of Bergen County's workforce was employed in retail."
How many Bergen County residents were enrolled in nursery schools in 2020?,"In 2020, around 6,500 Bergen County residents were enrolled in nursery schools."
What percentage of Bergen County households had four or more vehicles in 2020?,"In 2020, approximately 3% of Bergen County households had four or more vehicles."
What was the percentage of Bergen County housing units classified as vacant in 1980?,"In 1980, 2.1% of Bergen County housing units were classified as vacant."
What was the median rent in Bergen County in 2000?,"In 2000, the median rent in Bergen County was $950 per month."
What percentage of Bergen County's population lived in urban areas in 2020?,"In 2020, 95% of Bergen County's population lived in urban areas."
How many Bergen County residents identified as Korean in 2020?,"In 2020, 27,800 Bergen County residents identified as Korean."
What percentage of Bergen County workers worked in Bergen County in 2020?,"In 2020, 60% of Bergen County workers worked within Bergen County."
What was the average travel time to work for Bergen County residents in 1990?,"In 1990, the average travel time to work for Bergen County residents was 25 minutes."
What was the total number of public transportation commuters in Bergen County in 2020?,"In 2020, around 45,000 Bergen County residents commuted using public transportation."
How many Bergen County residents identified as Chinese in 2020?,"In 2020, 20,100 Bergen County residents identified as Chinese."
What percentage of Bergen County's population aged 65 and older lived alone in 2020?,"In 2020, 30% of Bergen County residents aged 65 and older lived alone."
"How many Bergen County households had incomes between $75,000 and $100,000 in 2020?","In 2020, around 15% of Bergen County households had incomes between $75,000 and $100,000."
What was the total number of Bergen County residents employed in agriculture in 2020?,"In 2020, less than 1% of Bergen County residents were employed in agriculture."
What percentage of Bergen County's population was aged 45-54 in 2000?,"In 2000, 16.3% of Bergen County's population was aged 45-54."
How many Bergen County residents identified as Indian in 2020?,"In 2020, approximately 40,200 Bergen County residents identified as Indian."
What was the percentage of Bergen County households with married couples in 1980?,"In 1980, 77.1% of Bergen County households were married couples."
How many Bergen County residents identified as Black or African American in 1990?,"In 1990, 40,031 Bergen County residents identified as Black or African American."
What was the percentage of Bergen County residents employed in public administration in 2020?,"In 2020, 6% of Bergen County residents were employed in public administration."
What was the median age of Bergen County residents in 2000?,The median age of Bergen County residents in 2000 was 39.1 years.
How many Bergen County residents worked in health care and social assistance in 2020?,"In 2020, approximately 65,000 Bergen County residents worked in health care and social assistance."
What percentage of Bergen County's workforce used bicycles to commute in 2010?,"In 2010, less than 0.5% of Bergen County's workforce used bicycles to commute."
What was the percentage of Bergen County's housing units that were owner-occupied in 1980?,"In 1980, 65.4% of Bergen County's housing units were owner-occupied."
How many Bergen County residents were employed in educational services in 2015?,"In 2015, around 45,000 Bergen County residents were employed in educational services."
What was the average household size in Bergen County in 1980?,The average household size in Bergen County in 1980 was 2.79 persons.
How many Bergen County residents were aged 25-34 in 1990?,"In 1990, 105,372 Bergen County residents were aged 25-34."
